Product,????????,????????????,????????????,First Quantity,????????????,Second Quantity,????????????,Value
01012900,????????????????????,502,????,2750,????,5,??,"5,000"
01031000,??????????,502,????,18375,????,105,??,"201,229"
01061910,????????????????????,502,????,2700,????,32,??,"118,000"
01061990,"??????????????,????????????",502,????,2054,????,19034,??,"3,091,934"
01062020,????????????,502,????,4840,????,374033,??,"245,593"
01062090,??????????????,502,????,37121,????,542413,??,"1,357,924"
01063910,??????????????,502,????,18,????,5,??,"200,000"
01064910,????????????,502,????,8,????,14000,??,"1,633"
01064990,"????????,????????????",502,????,25,????,46076,??,"13,269"
01069011,????????????,502,????,4,????,100,??,561
01069090,"??????????,????????????",502,????,273,????,850,??,"36,036"
02022000,??????????,502,????,4010,????,0,?,"31,197"
02032200,????????????????????????????,502,????,85795508,????,0,?,"151,848,015"
02032900,??????????,502,????,129707982,????,0,?,"257,366,848"
02064900,????????????,502,????,439859143,????,0,?,"936,811,145"
02091000,??????????????????????????????????????????????????????????????????????????????????,502,????,5787286,????,0,?,"6,483,644"
03011100,??????????,502,????,320,????,0,?,"19,130"
03011900,??????????,502,????,5278,????,0,?,"347,223"
03019919,????????,502,????,30,????,0,?,"12,396"
03019999,????????,502,????,72,????,0,?,"168,097"
03031100,????????????,502,????,5904932,????,0,?,"24,356,522"
03031200,??????????????,502,????,50058946,????,0,?,"136,188,013"
03031900,????????????,502,????,48931,????,0,?,"88,340"
03032500,?????????????????????????????????????????????,502,????,1906876,????,0,?,"1,750,001"
03033110,??????????????,502,????,346995,????,0,?,"1,679,742"
03033190,????????????,502,????,650493,????,0,?,"688,921"
03033200,??????,502,????,2702871,????,0,?,"5,164,534"
03033900,?????????????????????????????????????????????????????,502,????,104611332,????,0,?,"149,588,803"
03034100,????????????,502,????,210852,????,0,?,"732,129"
03034200,????????????,502,????,980000,????,0,?,"1,553,900"
03034300,????????????,502,????,10126000,????,0,?,"13,804,188"
03034400,????????????,502,????,179000,????,0,?,"236,860"
03034900,????????????(????????),502,????,5400,????,0,?,"8,124"
03035100,????????????????????????????????,502,????,6318562,????,0,?,"7,002,432"
03036300,????????????????????????????????????????????,502,????,55405959,????,0,?,"150,591,162"
03036600,????????(??????????????????),502,????,1584524,????,0,?,"1,634,933"
03036700,????????,502,????,51646765,????,0,?,"59,032,912"
03036900,??????????????????????????????????????????????????????????????????????????????????????????????,502,????,533290,????,0,?,"686,442"
03038100,????????????????,502,????,35664,????,0,?,"142,657"
03038200,???????????????????,502,????,68112,????,0,?,"65,676"
03038920,??????,502,????,200,????,0,?,150
03038930,??????,502,????,425,????,0,?,729
03038990,??????????????,502,????,32941594,????,0,?,"71,071,640"
03039000,????????????,502,????,2824712,????,0,?,"19,091,464"
03047100,????????????????????????????????????????????????????????????,502,????,39225,????,0,?,"117,730"
03047400,????????(??????????????????)????,502,????,120808,????,0,?,"164,299"
03047500,????????????,502,????,940688,????,0,?,"2,632,975"
03048100,????????????????????????????????????????,502,????,102106,????,0,?,"924,904"
03048300,???????????????????????????????????????????????????????,502,????,768,????,0,?,"1,703"
03048700,????????(????????)????????????(??)??????,502,????,102,????,0,?,"1,926"
03048900,??????????,502,????,9,????,0,?,193
03049300,??????????????????????????????????????????????????,502,????,84000,????,0,?,"159,600"
03049400,????????????,502,????,2365553,????,0,?,"7,870,378"
03049500,??????????????????????????????????????????????????????????????????????????????????????????????,502,????,4557534,????,0,?,"8,727,812"
03049900,??????????,502,????,2284408,????,0,?,"7,779,535"
03052000,??????????????????????????????,502,????,147996,????,0,?,"1,819,569"
03053900,????????????????????????,502,????,450,????,0,?,"14,258"
03054120,????????????????????????????????????????,502,????,10,????,0,?,110
03055990,??????????????????????????,502,????,60704,????,0,?,"60,704"
03057200,????????????????,502,????,616,????,0,?,647
03061100,??????????????????????????????????????????????????,502,????,67039,????,0,?,"755,025"
03061200,????????(????????),502,????,7836,????,0,?,"142,266"
03061410,????????,502,????,16,????,0,?,175
03061490,????????,502,????,3104516,????,0,?,"35,368,366"
03061611,????????????,502,????,2000,????,0,?,"20,940"
03061612,??????????????????,502,????,194808,????,0,?,"698,833"
03061711,????????????,502,????,5000,????,0,?,"48,725"
03061721,????????????,502,????,94896,????,0,?,"571,845"
03061729,??????????,502,????,13722,????,0,?,"99,515"
03062190,"??????????????????????????????????????????????????),????????",502,????,1709685,????,0,?,"45,512,112"
03062290,????????????????????????????????,502,????,6247001,????,0,?,"117,150,654"
03062499,????????????,502,????,4206760,????,0,?,"74,133,902"
03062690,??????????????????????????????????,502,????,9979,????,0,?,"385,949"
03062710,??????????????????????,502,????,7551,????,0,?,"9,753,563"
03062790,??????????????????????????????,502,????,25,????,0,?,"18,025"
03062990,??????????????????????????????????????????????????????????????,502,????,45,????,0,?,273
03071190,"????????????????(??), ????????",502,????,136234,????,0,?,"920,347"
03072900,??????????????????????????????,502,????,104536,????,0,?,"1,258,101"
03073190,??????????????????????????,502,????,7868,????,0,?,"28,540"
03074900,????????????????????????????????????,502,????,19868429,????,0,?,"61,073,993"
03076090,??????????????????????????????????????????????????????????????????????,502,????,79226,????,0,?,"691,994"
03077191,????????????????????????,502,????,400,????,0,?,"3,429"
03077199,????????????????????????????????,502,????,113,????,0,?,878
03078190,??????????????????????????????????,502,????,27,????,0,?,"1,149"
03079190,????????????????????????????????????????????????,502,????,29443,????,0,?,"251,272"
03079900,????????????????????????????????????????????????????????????????????????????????????????,502,????,249644,????,0,?,"1,104,147"
03081900,??????????????????????????????(??????????????),502,????,84275,????,0,?,"1,643,399"
03082190,"????????????????, ????????",502,????,14930,????,0,?,"150,584"
