Product,????????,????????????,????????????,First Quantity,????????????,Second Quantity,????????????,Value
01061990,"??????????????,????????????",502,????,18,????,566,??,"146,242"
01064910,????????????,502,????,1,????,1480,??,176
01064990,"????????,????????????",502,????,9,????,2946,??,"2,568"
01069090,"??????????,????????????",502,????,0,????,30,??,75
02013000,????????????????,502,????,14802,????,0,?,"293,807"
02022000,??????????,502,????,73909,????,0,?,"674,117"
02023000,??????????,502,????,650109,????,0,?,"6,520,307"
02032200,????????????????????????????,502,????,2108704,????,0,?,"4,181,141"
02032900,??????????,502,????,6474769,????,0,?,"10,330,864"
02062100,??????,502,????,78,????,0,?,740
02062200,??????,502,????,562,????,0,?,"1,598"
02062900,????????????,502,????,3236,????,0,?,"10,801"
02064900,????????????,502,????,17631095,????,0,?,"36,538,585"
02091000,"????????????????????????????????????????????????,????????????????????????????????",502,????,980,????,0,?,"4,121"
03011900,??????????,502,????,5576,????,0,?,"277,915"
03031100,????????????,502,????,134711,????,0,?,"453,232"
03031200,??????????????,502,????,3466059,????,0,?,"11,699,842"
03033110,??????????????,502,????,22802,????,0,?,"145,395"
03033900,????????????,502,????,857742,????,0,?,"1,852,135"
03034200,????????????,502,????,15000,????,0,?,"24,824"
03034300,????????????,502,????,1710000,????,0,?,"2,315,426"
03036300,??????,502,????,1080589,????,0,?,"4,272,128"
03036700,????????,502,????,1614249,????,0,?,"1,836,766"
03036900,??????????????????????????????????????????????????????????????????????????????????,502,????,18189,????,0,?,"109,136"
03038930,??????,502,????,119991,????,0,?,"197,985"
03038990,??????????,502,????,1156692,????,0,?,"2,916,016"
03039100,????????????????????,502,????,88249,????,0,?,"822,320"
03039900,????????????????????,502,????,23044,????,0,?,"46,088"
03047500,????????????,502,????,116565,????,0,?,"236,992"
03048100,????????????????????????????????????????,502,????,15890,????,0,?,"95,340"
03049400,????????????,502,????,61200,????,0,?,"196,716"
03049500,??????????????????????????????????????????????????????????????????????????????????,502,????,154652,????,0,?,"290,397"
03049900,??????????,502,????,145,????,0,?,142
03061490,????????,502,????,19673,????,0,?,"391,016"
03061721,????????????,502,????,97975,????,0,?,"484,250"
03063190,"????????????????????????????,????????",502,????,141013,????,0,?,"5,272,124"
03063290,"??????????????????,????????",502,????,954376,????,0,?,"20,339,510"
03063399,"??????????????????,????????",502,????,499535,????,0,?,"9,938,303"
03063610,??????????????????????,502,????,441,????,0,?,"303,256"
03071190,"????????????????,????????",502,????,13368,????,0,?,"83,760"
03072900,??????????????????????????,502,????,10289,????,0,?,"185,441"
03074310,????????????????????????????????????????????????????????????????????????????????????????,502,????,9601342,????,0,?,"25,806,187"
03074390,??????????????????,502,????,1253155,????,0,?,"4,279,282"
03076090,"????????????????????????????????????????????????????????????,????????",502,????,4112,????,0,?,"33,535"
03077199,"??????????????????????,????????",502,????,91,????,0,?,803
03077200,??????????????????,502,????,30,????,0,?,903
03079190,"??????????????????????????,????????",502,????,246395,????,0,?,"8,070,213"
03081200,??????,502,????,27216,????,0,?,"205,214"
03081900,??????????????????????????,502,????,7043,????,0,?,"258,703"
03082190,"????????????????,????????",502,????,3053,????,0,?,"27,612"
03089019,"??????????????????????????????????????????????????????????, ????????",502,????,4,????,0,?,76
04011000,"????????????????????????????????????, ????????????1%",502,????,12713,????,0,?,"16,710"
04012000,"????????????????????????????????????, ??????????1%,????????6%",502,????,9643,????,0,?,"27,582"
04021000,"????????????????????????????,????????1.5??",502,????,2043445,????,0,?,"4,113,888"
04022100,"????????????????????????????,????????1.5??,??????????????????",502,????,35002,????,0,?,"820,187"
04022900,"????????????????????????????,????????1.5??,????????????????",502,????,2119,????,0,?,"27,786"
04029900,"??????????????,????????????????",502,????,609,????,0,?,967
04031000,????,502,????,223,????,0,?,"3,567"
04039000,??????????????????????????????????????????????????????????,502,????,84860,????,0,?,"188,731"
04041000,"??????????????,??????????????????????????????",502,????,26669182,????,0,?,"21,870,480"
04061000,????????????????????????,502,????,12725,????,0,?,"95,502"
04062000,????????????????????,502,????,518528,????,0,?,"2,194,603"
04063000,????????????????????????????????????,502,????,215571,????,0,?,"1,083,712"
04069000,????????????,502,????,465542,????,0,?,"2,150,271"
04090000,????????,502,????,21780,????,0,?,"149,398"
04100049,??????????,502,????,155,????,0,?,"15,352"
05040011,??????????????????????????,502,????,2437616,????,0,?,"3,835,312"
05040012,????????????,502,????,285096,????,0,?,"609,457"
05040029,????????????,502,????,883168,????,0,?,"3,166,871"
05051000,????????????????,502,????,67355,????,0,?,"1,190,475"
05059090,????????????????????????????????????????,502,????,203649,????,0,?,"466,296"
05111000,????????,502,????,413,????,0,?,"1,796,216"
05119190,??????????????????????????????????????????????????????3??????????,502,????,210923,????,0,?,"738,231"
05119910,????????????????????????,502,????,0,????,0,?,176
05119940,"????????????,????????????????????????????",502,????,0,????,0,?,72
