Product,????????,????????????,????????????,First Quantity,????????????,Second Quantity,????????????,Value
01012900,"??????,????????????",502,????,1000,????,2,??,"2,000"
01031000,??????????,502,????,344830,????,5608,??,"10,312,553"
01061410,??????????????????,502,????,8,????,2,??,686
01061910,????????????????????,502,????,10975,????,334,??,"531,304"
01061990,"??????????????,????????????",502,????,5800,????,22207,??,"3,927,885"
01062090,??????????????,502,????,14271,????,327314,??,"910,172"
01064910,????????????,502,????,10,????,14460,??,"1,583"
01064990,"????????,????????????",502,????,37,????,69511,??,"35,183"
01069011,????????????,502,????,8,????,200,??,"1,234"
01069090,"??????????,????????????",502,????,224,????,750,??,"58,541"
02012000,????????????????,502,????,19182,????,0,?,"400,251"
02013000,????????????????,502,????,248758,????,0,?,"4,657,724"
02022000,??????????,502,????,148415,????,0,?,"1,521,856"
02023000,??????????,502,????,1788431,????,0,?,"18,421,062"
02031200,??????????????????????????????????,502,????,12465,????,0,?,"30,951"
02031900,????????????????,502,????,5264,????,0,?,"15,011"
02032200,????????????????????????????,502,????,66020593,????,0,?,"117,708,813"
02032900,??????????,502,????,99702417,????,0,?,"167,923,908"
02042200,??????????????????,502,????,522,????,0,?,"5,939"
02045000,??????,502,????,76,????,0,?,450
02062900,????????????,502,????,9130,????,0,?,"37,124"
02064900,????????????,502,????,416321806,????,0,?,"873,810,968"
02072500,"????????,????",502,????,1287,????,0,?,"2,015"
02072700,"????????????,????",502,????,2268,????,0,?,"2,221"
02091000,"????????????????????????????????????????????????,????????????????????????????????",502,????,1575973,????,0,?,"1,707,186"
02101200,??????????????????????????????????,502,????,2214,????,0,?,"6,603"
02101900,??????????????????????????,502,????,33282,????,0,?,"632,849"
02102000,??????????????????????,502,????,322,????,0,?,"3,781"
02109900,"??????????????????????????????????,??????????????????????????????????",502,????,301,????,0,?,"3,004"
03011100,??????????,502,????,100,????,0,?,"11,819"
03011900,??????????,502,????,5692,????,0,?,"649,314"
03028100,??????????????????????,502,????,16,????,0,?,8
03031100,????????????,502,????,5059668,????,0,?,"23,087,007"
03031200,??????????????,502,????,98181917,????,0,?,"295,357,547"
03031300,????????????????????????,502,????,45,????,0,?,123
03031400,??????,502,????,58500,????,0,?,"409,500"
03031900,????????????,502,????,200639,????,0,?,"846,155"
03032500,????????,502,????,165428,????,0,?,"136,069"
03033110,??????????????,502,????,463425,????,0,?,"2,374,379"
03033190,????????????,502,????,739083,????,0,?,"1,174,116"
03033200,??????,502,????,271086,????,0,?,"590,434"
03033900,????????????,502,????,106231415,????,0,?,"183,691,017"
03034100,????????????,502,????,185683,????,0,?,"1,026,463"
03034200,????????????,502,????,1675898,????,0,?,"3,531,983"
03034300,????????????,502,????,6985000,????,0,?,"13,054,246"
03034400,????????????,502,????,85000,????,0,?,"159,678"
03034520,??????????????????,502,????,22028,????,0,?,"51,921"
03035100,??????,502,????,11351964,????,0,?,"13,878,443"
03035400,??????,502,????,1,????,0,?,28
03035900,????????????????????????????????????????????????????????????????????????? ????????????????,502,????,995480,????,0,?,"581,940"
03036300,??????,502,????,45224425,????,0,?,"145,687,870"
03036600,????????,502,????,3543797,????,0,?,"4,133,630"
03036700,????????,502,????,54489058,????,0,?,"59,705,990"
03036900,??????????????????????????????????????????????????????????????????????????????????,502,????,102898,????,0,?,"1,183,135"
03038100,????????????????,502,????,4281,????,0,?,"15,568"
03038200,???????????,502,????,12829,????,0,?,"21,368"
03038910,??????,502,????,26000,????,0,?,"74,343"
03038930,??????,502,????,96456,????,0,?,"162,841"
03038990,??????????,502,????,26915809,????,0,?,"74,929,186"
03039100,????????????????????,502,????,3458088,????,0,?,"30,311,578"
03039900,????????????????????,502,????,724964,????,0,?,"2,097,725"
03046900,????????????????????????,502,????,10003,????,0,?,"16,005"
03047100,??????????,502,????,53706,????,0,?,"173,856"
03047200,??????????????,502,????,23910,????,0,?,"71,730"
03047500,????????????,502,????,5247406,????,0,?,"13,339,963"
03048100,????????????????????????????????????????,502,????,21581,????,0,?,"72,884"
03048300,????????????,502,????,68146,????,0,?,"251,733"
03048900,??????????,502,????,341,????,0,?,"6,650"
03049300,??????????????????????????????????????????,502,????,17275,????,0,?,"32,823"
03049400,????????????,502,????,5364300,????,0,?,"16,657,081"
03049500,??????????????????????????????????????????????????????????????????????????????????,502,????,4418798,????,0,?,"9,944,835"
03049600,??????????????????????,502,????,43180,????,0,?,"138,456"
03049700,?????????????????,502,????,646,????,0,?,810
03049900,??????????,502,????,874863,????,0,?,"2,690,199"
03052000,????????????????????????????????????,502,????,57338,????,0,?,"297,948"
03054120,??????????????????????,502,????,230,????,0,?,"1,464"
03061100,????????????????????,502,????,33730,????,0,?,"447,995"
03061200,????????,502,????,392,????,0,?,"21,763"
03061410,????????,502,????,8894,????,0,?,"55,067"
03061490,????????,502,????,2091643,????,0,?,"34,785,037"
03061611,????????????,502,????,3012,????,0,?,"20,981"
03061612,??????????????????,502,????,224800,????,0,?,"775,542"
03061619,??????????????,502,????,100,????,0,?,"1,254"
03061711,????????????,502,????,6100,????,0,?,"65,661"
03061719,??????????,502,????,1000,????,0,?,"19,759"
03061721,????????????,502,????,277364,????,0,?,"1,515,703"
03061919,????????????????,502,????,182511,????,0,?,"201,677"
03063190,"????????????????????????????,????????",502,????,1459155,????,0,?,"43,693,089"
03063290,"??????????????????,????????",502,????,6474887,????,0,?,"122,904,660"
03063399,"??????????????????,????????",502,????,4717685,????,0,?,"78,223,136"
03063590,"??????????????????????????????????,????????",502,????,11228,????,0,?,"447,248"
03063610,??????????????????????,502,????,6524,????,0,?,"8,969,361"
03063690,"??????????????????????????????,????????",502,????,56,????,0,?,"1,309"
03063990,"??????????????????????????????????????,????????????????????????????????????????????",502,????,99,????,0,?,"8,651"
03069100,????????????????????????????????????????,502,????,59,????,0,?,"1,993"
03071190,"????????????????,????????",502,????,109492,????,0,?,"720,685"
03072190,"????????????????,????????",502,????,23,????,0,?,524
03072200,??????,502,????,27693,????,0,?,"503,084"
03072900,??????????????????????????,502,????,14400,????,0,?,"302,494"
03073190,"????????????????,????????",502,????,7190,????,0,?,"36,710"
03074310,????????????????????????????????????????????????????????????????????????????????????????,502,????,22214768,????,0,?,"62,777,562"
03074390,??????????????????,502,????,4620233,????,0,?,"12,096,561"
03074910,??????????????????????????????????????????????????????????????????????????????????????????????????????????,502,????,119000,????,0,?,"266,666"
03074990,????????????????????????????????????,502,????,384000,????,0,?,"973,879"
03076090,"????????????????????????????????????????????????????????????,????????",502,????,98324,????,0,?,"767,295"
03077191,"??????????????,????????",502,????,1725,????,0,?,"16,604"
03077199,"??????????????????????,????????",502,????,220,????,0,?,"2,471"
03077200,??????????????????,502,????,9,????,0,?,530
03077900,????????????????????????????????????,502,????,24380,????,0,?,"290,983"
03078290,"????????????????,????????",502,????,678,????,0,?,"9,656"
03079190,"??????????????????????????,????????",502,????,1186746,????,0,?,"40,733,923"
03081190,"????????????????,????????",502,????,613,????,0,?,"10,131"
03081200,??????,502,????,4797,????,0,?,"119,482"
03081900,??????????????????????????,502,????,10619,????,0,?,"431,634"
03082190,"????????????????,????????",502,????,4270,????,0,?,"47,543"
03083090,??????????????????????????????,502,????,303045,????,0,?,"151,976"
03089019,"??????????????????????????????????????????????????????????, ????????",502,????,32,????,0,?,"1,330"
04011000,"????????????????????????????????????, ????????????1%",502,????,75554,????,0,?,"102,511"
04012000,"????????????????????????????????????, ??????????1%,????????6%",502,????,50592,????,0,?,"132,998"
04014000,"????????????????????????????????????, ??????????6??,????????10??",502,????,99,????,0,?,129
04015000,"????????????????????????????????????, ??????????10??",502,????,18024,????,0,?,"40,082"
04021000,"????????????????????????????,????????1.5??",502,????,27606859,????,0,?,"59,550,981"
04022100,"????????????????????????????,????????1.5??,??????????????????",502,????,6178403,????,0,?,"23,387,209"
