Product,????????,????????????,????????????,First Quantity,????????????,Second Quantity,????????????,Value
01012900,"??????,????????????",502,????,8750,????,18,??,"363,412"
01061490,"??????????????,????????????",502,????,80,????,40,??,"31,809"
01061910,????????????????????,502,????,8201,????,491,??,"1,336,001"
01061990,"??????????????,????????????",502,????,4800,????,17177,??,"3,901,919"
01062019,????????????????????,502,????,1143,????,98544,??,"84,007"
01062090,??????????????,502,????,11554,????,196769,??,"522,348"
01064910,????????????,502,????,5,????,8640,??,754
01064990,"????????,????????????",502,????,69,????,92337,??,"34,712"
01069090,"??????????,????????????",502,????,165,????,4879,??,"20,248"
02012000,????????????????,502,????,110555,????,0,?,"2,406,791"
02013000,????????????????,502,????,745774,????,0,?,"10,153,761"
02022000,??????????,502,????,586949,????,0,?,"6,142,142"
02023000,??????????,502,????,8408121,????,0,?,"65,020,442"
02032200,????????????????????????????,502,????,67396584,????,0,?,"110,907,407"
02032900,??????????,502,????,177576758,????,0,?,"395,614,551"
02062100,??????,502,????,63364,????,0,?,"807,812"
02062200,??????,502,????,481,????,0,?,"5,939"
02062900,????????????,502,????,93019,????,0,?,"216,565"
02064900,????????????,502,????,173030743,????,0,?,"273,964,688"
02071311,????????????????,502,????,10796,????,0,?,"10,234"
02091000,"????????????????????????????????????????????????,????????????????????????????????",502,????,897760,????,0,?,"1,343,688"
02101900,??????????????????????????,502,????,4585,????,0,?,"64,176"
03011900,??????????,502,????,3351,????,0,?,"777,410"
03019290,"??????????,????????",502,????,546,????,0,?,"6,023"
03019919,????????,502,????,66,????,0,?,"14,283"
03019999,????????,502,????,0,????,0,?,329
03031100,????????????,502,????,3708224,????,0,?,"22,500,409"
03031200,??????????????,502,????,57953195,????,0,?,"150,444,503"
03031900,????????????,502,????,20865,????,0,?,"69,270"
03032500,????????,502,????,34942,????,0,?,"56,855"
03032900,??????????????????,502,????,40,????,0,?,995
03033110,??????????????,502,????,1577715,????,0,?,"3,544,182"
03033190,????????????,502,????,8,????,0,?,80
03033900,????????????,502,????,96755370,????,0,?,"180,023,542"
03034200,????????????,502,????,116561,????,0,?,"163,208"
03034300,????????????,502,????,2394000,????,0,?,"2,675,201"
03034400,????????????,502,????,75000,????,0,?,"78,986"
03035100,??????,502,????,6243185,????,0,?,"6,113,443"
03035400,??????,502,????,49050,????,0,?,"61,509"
03035900,????????????????????????????????????????????????????????????????????????? ????????????????,502,????,1600405,????,0,?,"883,633"
03036300,??????,502,????,26385030,????,0,?,"93,469,011"
03036600,????????,502,????,640870,????,0,?,"857,416"
03036700,????????,502,????,32083005,????,0,?,"49,520,513"
03036900,??????????????????????????????????????????????????????????????????????????????????,502,????,307633,????,0,?,"2,140,919"
03038200,???????????,502,????,10,????,0,?,402
03038930,??????,502,????,24012,????,0,?,"63,572"
03038990,??????????,502,????,41668605,????,0,?,"99,214,867"
03039100,????????????????????,502,????,3133249,????,0,?,"15,143,864"
03039900,????????????????????,502,????,1738947,????,0,?,"3,398,227"
03047100,??????????,502,????,32442,????,0,?,"102,723"
03047400,????????????,502,????,45,????,0,?,847
03047500,????????????,502,????,1833872,????,0,?,"6,720,828"
03048100,????????????????????????????????????????,502,????,3252,????,0,?,"57,055"
03048900,??????????,502,????,16486,????,0,?,"42,863"
03049400,????????????,502,????,3628140,????,0,?,"12,830,711"
03049500,??????????????????????????????????????????????????????????????????????????????????,502,????,3106023,????,0,?,"5,881,257"
03049900,??????????,502,????,893553,????,0,?,"3,245,743"
03052000,????????????????????????????????????,502,????,253182,????,0,?,"1,485,972"
03054120,??????????????????????,502,????,974,????,0,?,"23,952"
03061200,????????,502,????,566,????,0,?,"18,972"
03061490,????????,502,????,1369546,????,0,?,"21,671,184"
03061612,??????????????????,502,????,117000,????,0,?,"481,316"
03061721,????????????,502,????,36860,????,0,?,"208,179"
03061729,??????????,502,????,13605,????,0,?,"300,915"
03063190,"????????????????????????????,????????",502,????,1251754,????,0,?,"27,561,870"
