Product,????????,????????????,????????????,First Quantity,????????????,Second Quantity,????????????,Value
01012100,??????????,502,????,4500,????,9,??,"380,700"
01031000,??????????,502,????,601860,????,9052,??,"18,828,323"
01051110,????????????????????????????????185g,502,????,47536,????,952020,??,"23,605,044"
01061990,"??????????????,????????????",502,????,859,????,14396,??,"3,815,209"
01064910,????????????,502,????,5,????,17380,??,"10,802"
01064990,"????????,????????????",502,????,43,????,77851,??,"83,761"
01069090,"??????????,????????????",502,????,0,????,5983,??,"26,587"
02012000,????????????????,502,????,361938,????,0,?,"9,813,477"
02013000,????????????????,502,????,12850063,????,0,?,"185,694,099"
02022000,??????????,502,????,12841310,????,0,?,"90,795,482"
02023000,??????????,502,????,117872832,????,0,?,"1,027,705,718"
02032200,????????????????????????????,502,????,210099166,????,0,?,"485,972,226"
02032900,??????????,502,????,187784531,????,0,?,"435,058,704"
02061000,??????????????,502,????,1485,????,0,?,"22,890"
02062100,??????,502,????,199599,????,0,?,"2,965,168"
02062200,??????,502,????,1939,????,0,?,"3,834"
02062900,????????????,502,????,6584196,????,0,?,"26,940,986"
02064900,????????????,502,????,332235787,????,0,?,"739,350,900"
02071200,????????????,502,????,29348,????,0,?,"81,255"
02071411,????????????,502,????,124692726,????,0,?,"93,720,559"
02071419,??????????,502,????,2520,????,0,?,"23,890"
02071421,????????????????????,502,????,5535740,????,0,?,"11,883,154"
02071422,??????,502,????,284578350,????,0,?,"938,057,237"
02071429,????????????,502,????,25025765,????,0,?,"27,921,708"
02072500,??????????????,502,????,272056,????,0,?,"849,579"
02072700,??????????????????,502,????,6521772,????,0,?,"20,232,529"
02091000,??????????????????????????????????????????????????????????????????????????????????,502,????,7905886,????,0,?,"15,520,592"
03011100,??????????,502,????,109,????,0,?,"3,161"
03011900,??????????,502,????,591,????,0,?,"470,133"
03019290,????????????????????,502,????,210,????,0,?,"2,984"
03031100,????????????,502,????,2769169,????,0,?,"23,082,131"
03031200,??????????????,502,????,40796719,????,0,?,"128,133,664"
